"","Palabra","Freq"
"172","Justa”",1
"173","Kast",1
"174","la",19
"175","La",2
"176","Laboratorio",1
"177","las",5
"178","Latina",1
"179","le",1
"180","lenguaje",2
"181","Ley",1
"182","libertad",1
"183","litio",1
"184","lo",1
"185","logra",1
"186","los",3
"187","Los",1
"188","luego",1
"189","Maduro",3
"190","maduró",1
"191","mantiene",1
"192","más",4
"193","matinal",1
"194","maximalismo",2
"195","mecanismo",1
"196","medir",1
"197","mejores",1
"198","menos",2
"199","Mercado",2
"200","metabolismo",1
"201","mi",1
"202","micros",1
"203","mil",1
"204","militar",2
"205","millonario",1
"206","millones",1
"207","mira",1
"208","Montes",2
"209","Mosaico",1
"210","Motta",1
"211","muestra",1
"212","multas",1
"213","mundiales",1
"214","mundo",1
"215","murió",1
"216","Nada",1
"217","nadie",1
"218","niño",1
"219","no",1
"220","noche",1
"221","nuevamente",1
"222","nuevo",1
"223","Nuevo",1
"224","Nuevos",1
"225","nunca",1
"226","Nunca",1
"227","orgánico",1
"228","Otra",1
"229","padrón",1
"230","país",1
"231","paladín",1
"232","para",8
"233","paro",1
"234","Parques",1
"235","Parrado",1
"236","pasa",1
"237","patriarcado",1
"238","peligro",1
"239","Pérez",1
"240","persona",1
"241","pesqueros",1
"242","Piñera",1
"243","Pinto",1
"244","pleno",1
"245","Poblete",2
"246","política",1
"247","por",3
"248","potencias",1
"249","precio",2
"250","preguntado",1
"251","presidenta",1
"252","primarias",1
"253","primer",3
"254","profunda",1
"255","propósito",1
"256","proyección",1
"257","pude",1
"258","que",8
"259","qué",1
"260","Qué",1
"261","RD",1
"262","real",1
"263","realmente",1
"264","rebajar",1
"265","recibido",1
"266","Reconozcamos",1
"267","reconversión",1
"268","Reginato",1
"269","relación",1
"270","Relato",1
"271","relatos",1
"272","remece",1
"273","Renato",2
"274","respaldo",2
"275","retiro",1
"276","retrato",1
"277","revolución",1
"278","rica",1
"279","sacerdote",1
"280","se",1
"281","señal",1
"282","será",1
"283","símbolo",1
"284","sobre",1
"285","solo",1
"286","son",1
"287","Soros",1
"288","Sospechoso",1
"289","su",2
"290","supera",1
"291","superintendente",1
"292","superior",1
"293","TC",1
"294","Te",1
"295","tecnocracia",1
"296","Tortura",1
"297","tras",1
"298","tribunal",1
"299","triunfo",1
"300","tuvo",1
"301","U",1
"302","últimos",1
"303","un",5
"304","Un",2
"305","una",2
"306","Una",1
"307","universidades",1
"308","universo",1
"309","Urenda",1
"310","Velásquez",1
"311","venezolanos",1
"312","Venezuela",3
"313","veto",1
"314","vez",1
"315","vida",1
"316","videojuegos",1
"317","villano",1
"318","vintage",1
"319","vista",1
"320","votó",1
"321","Xi",1
"322","y",10
